zone_id,lat_grid,lon_grid,total_locations,avg_location_score,rescaled_score,restaurant_count,business_count,bus_stop_count,divvy_station_count,population_total_cell,zone_class_mode,geom,geojson,centroid
39,41.69,-87.68,25,28,46,10,11,3,1,963006,B1-1,"POLYGON((-87.68 41.69, -87.67 41.69, -87.67 41.7, -87.68 41.7, -87.68 41.69))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.68, 41.69], [-87.67, 41.69], [-87.67, 41.7], [-87.68, 41.7], [-87.68, 41.69] ] ] } ",POINT(-87.6749999999901 41.6949999787682)
97,41.72,-87.57,17,29,47,7,5,5,0,990408,B3-1,"POLYGON((-87.57 41.72, -87.56 41.72, -87.56 41.73, -87.57 41.73, -87.57 41.72))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.57, 41.72], [-87.56, 41.72], [-87.56, 41.73], [-87.57, 41.73], [-87.57, 41.72] ] ] } ",POINT(-87.5650000000223 41.7249999787079)
144,41.75,-87.68,46,28,46,18,19,7,2,2471174,B1-1,"POLYGON((-87.68 41.75, -87.67 41.75, -87.67 41.76, -87.68 41.76, -87.68 41.75))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.68, 41.75], [-87.67, 41.75], [-87.67, 41.76], [-87.68, 41.76], [-87.68, 41.75] ] ] } ",POINT(-87.6749999999724 41.754999978534)
164,41.76,-87.68,28,29,47,12,10,5,1,1142594,B1-2,"POLYGON((-87.68 41.76, -87.67 41.76, -87.67 41.77, -87.68 41.77, -87.68 41.76))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.68, 41.76], [-87.67, 41.76], [-87.67, 41.77], [-87.68, 41.77], [-87.68, 41.76] ] ] } ",POINT(-87.6749999999652 41.7649999785189)
180,41.77,-87.76,2,24,39,0,1,1,0,58797,C1-2,"POLYGON((-87.76 41.77, -87.75 41.77, -87.75 41.78, -87.76 41.78, -87.76 41.77))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.76, 41.77], [-87.75, 41.77], [-87.75, 41.78], [-87.76, 41.78], [-87.76, 41.77] ] ] } ",POINT(-87.7549999999924 41.7749999784859)
311,41.84,-87.73,85,30,49,49,23,10,3,6190488,B3-1,"POLYGON((-87.73 41.84, -87.72 41.84, -87.72 41.85, -87.73 41.85, -87.73 41.84))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.73, 41.84], [-87.72, 41.84], [-87.72, 41.85], [-87.73, 41.85], [-87.73, 41.84] ] ] } ",POINT(-87.7250000000127 41.8449999781763)
344,41.86,-87.68,26,33,54,5,11,9,1,1267280,C1-2,"POLYGON((-87.68 41.86, -87.67 41.86, -87.67 41.87, -87.68 41.87, -87.68 41.86))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.68, 41.86], [-87.67, 41.86], [-87.67, 41.87], [-87.68, 41.87], [-87.68, 41.86] ] ] } ",POINT(-87.675000000006 41.8649999780497)
346,41.86,-87.66,115,36,60,80,22,10,3,8078910,C1-2,"POLYGON((-87.66 41.86, -87.65 41.86, -87.65 41.87, -87.66 41.87, -87.66 41.86))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.66, 41.86], [-87.65, 41.86], [-87.65, 41.87], [-87.66, 41.87], [-87.66, 41.86] ] ] } ",POINT(-87.6550000000089 41.8649999780574)
370,41.88,-87.76,66,26,42,25,17,21,3,2003904,B3-2,"POLYGON((-87.76 41.88, -87.75 41.88, -87.75 41.89, -87.76 41.89, -87.76 41.88))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.76, 41.88], [-87.75, 41.88], [-87.75, 41.89], [-87.76, 41.89], [-87.76, 41.88] ] ] } ",POINT(-87.7549999999859 41.8849999780191)
411,41.9,-87.69,92,42,70,51,24,14,3,3922511,C1-2,"POLYGON((-87.69 41.9, -87.68 41.9, -87.68 41.91, -87.69 41.91, -87.69 41.9))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.69, 41.9], [-87.68, 41.9], [-87.68, 41.91], [-87.69, 41.91], [-87.69, 41.9] ] ] } ",POINT(-87.685000000003 41.9049999779154)
522,41.96,-87.77,38,29,47,19,9,10,0,2090558,B3-1,"POLYGON((-87.77 41.96, -87.76 41.96, -87.76 41.97, -87.77 41.97, -87.77 41.96))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.77, 41.96], [-87.76, 41.96], [-87.76, 41.97], [-87.77, 41.97], [-87.77, 41.96] ] ] } ",POINT(-87.765000000005 41.9649999776616)
616,42.01,-87.81,20,33,54,14,6,0,0,590580,B3-1,"POLYGON((-87.81 42.01, -87.8 42.01, -87.8 42.02, -87.81 42.02, -87.81 42.01))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.81, 42.01], [-87.8, 42.01], [-87.8, 42.02], [-87.81, 42.02], [-87.81, 42.01] ] ] } ",POINT(-87.8049999999544 42.0149999774888)
619,42.01,-87.7,43,27,44,22,9,10,2,1479692,B1-1,"POLYGON((-87.7 42.01, -87.69 42.01, -87.69 42.02, -87.7 42.02, -87.7 42.01))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.7, 42.01], [-87.69, 42.01], [-87.69, 42.02], [-87.7, 42.02], [-87.7, 42.01] ] ] } ",POINT(-87.6950000000149 42.0149999774899)
2,41.64,-87.54,1,24,39,1,0,0,0,12871,M1-1,"POLYGON((-87.54 41.64, -87.53 41.64, -87.53 41.65, -87.54 41.65, -87.54 41.64))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.54, 41.64], [-87.53, 41.64], [-87.53, 41.65], [-87.54, 41.65], [-87.54, 41.64] ] ] } ",POINT(-87.5349999999984 41.6449999790556)
40,41.69,-87.67,18,28,46,5,4,9,0,448830,B3-2,"POLYGON((-87.67 41.69, -87.66 41.69, -87.66 41.7, -87.67 41.7, -87.67 41.69))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.67, 41.69], [-87.66, 41.69], [-87.66, 41.7], [-87.67, 41.7], [-87.67, 41.69] ] ] } ",POINT(-87.664999999988 41.6949999787798)
